BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 90134800.11    33 /   33         80 | -9996110.61    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 90127347.93    60 /   61        380 | -9996760.79    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 80127216.25    79 /   82        680 | -9997723.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 70128053.80   104 /  107        980 | -9994824.63    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 70119146.62   130 /  133       1280 | -9996392.10    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 70111752.26   165 /  165       1580 | -9997476.16    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 60111959.83   183 /  186       1880 | -9998021.76    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 43455761.94   157 /  187       2180 | -9998622.58    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 43450968.03   176 /  214       2480 | -6660497.83    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 40114868.69   221 /  257       2780 | -9991222.54    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 40104324.70   262 /  304       3080 | -9994869.24    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 30102747.21   282 /  343       3380 | -9995551.40    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 30100632.28   303 /  362       3680 | -9998462.95    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 30096096.42   286 /  371       3980 | -9998922.31    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 30091266.05   314 /  400       4280 |   -1747.97    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 30085265.07   322 /  418       4580 |    -694.05    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 30077809.80   295 /  436       4880 | -9994324.05    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 30075125.12   312 /  460       5180 | -9998915.05    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 20074489.75   384 /  512       5480 | -9996704.94    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       20 10077042.11   373 /  524       5780 |    -774.43    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       21 10071746.07   355 /  537       6080 |    -791.54    15   300  
