BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 110094982.04    30 /   30         60 | -9998009.62    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 100090426.93    57 /   57        360 | -9997069.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 100084886.97    80 /   81        660 | -9998000.87    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 100076163.41    98 /  108        960 | -9997630.12    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 90073298.65   133 /  136       1260 | -9998573.66    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 90069038.52   166 /  171       1560 | -9998029.07    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 80064032.63   178 /  214       1860 | -9999184.88    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 80061231.24   191 /  235       2160 | -9997728.36    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 80057216.12   234 /  276       2460 | -9997776.11    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 80052555.34   213 /  289       2760 | -9998092.81    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 70051479.47   234 /  312       3060 | -9998538.55    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 60048256.30   253 /  345       3360 | -9997046.99    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 60044367.58   242 /  360       3660 | -9997337.19    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 50045048.60   306 /  407       3960 | -9997182.66    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 40046705.74   346 /  446       4260 | -9999333.34    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 40042449.44   313 /  442       4560 |    -651.50    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 40038429.26   292 /  451       4860 | -9996848.90    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 35039908.37   343 /  484       5160 | -9995388.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 30041258.06   366 /  497       5460 | -9999519.20    15   300  
