BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 220185960.14    51 /   51        120 | -9997269.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 200184803.71    78 /   79        420 | -9996520.16    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 200175741.59   108 /  110        720 | -9997425.44    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 180176765.61   122 /  129       1020 | -9998257.93    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 160179975.37   138 /  155       1320 | -9998200.25    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 160172585.51   170 /  188       1620 | -9998493.64    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 140171894.25   193 /  214       1920 | -9995048.86    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 140163122.59   228 /  250       2220 | -9996079.90    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 130162553.70   255 /  281       2520 | -4999074.72    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 130158900.25   295 /  323       2820 | -9994169.79    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 120160999.52   308 /  345       3120 | -9995220.63    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 110161294.33   333 /  369       3420 | -9997281.86    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 100161182.69   349 /  395       3720 | -9998426.55    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 100157538.10   344 /  409       4020 | -9998395.45    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 76836828.17   330 /  413       4320 | -3331693.64    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 70164973.92   385 /  472       4620 |   -2762.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 70152089.18   434 /  517       4920 | -4998399.64    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 55159878.02   452 /  544       5220 | -4998132.88    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 46828434.25   495 /  583       5520 |   -3207.32    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       20 46819411.39   503 /  611       5820 | -9995992.76    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       21 46814632.16   544 /  646       6120 | -9997329.08    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       22 36813660.27   601 /  695       6420 | -9997146.39    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       23 36807893.31   616 /  722       6720 |   -1196.78    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       24 36801552.41   650 /  753       7020 |   -1568.30    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       25 36795220.35   623 /  751       7320 | -4997573.28    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       26 32630430.99   659 /  780       7620 | -9988615.84    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       27 30126429.18   658 /  800       7920 |    -694.12    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       28 30120252.04   625 /  799       8220 | -9997400.92    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       29 30116740.13   619 /  810       8520 | -9997683.92    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       30 15119322.18   663 /  860       8820 | -2501186.43    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       31 2623066.74   664 /  879       9120 |    -891.84    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       32 2618163.01   668 /  898       9420 |   -1015.20    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       33 2613985.94   684 /  921       9720 |   -6144.47    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       34 2610024.51   696 /  959      10020 |   -1712.42    15   300  
