BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 110070240.79    33 /   33         50 | -9998064.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 110062272.10    43 /   63        350 | -9998209.36    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 90062152.04    97 /   98        650 | -9998416.50    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 90056129.50   131 /  132        950 | -9997798.89    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 80055509.73   138 /  155       1250 | -9997331.97    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 70055976.10   144 /  174       1550 | -9999455.25    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 60056392.59   146 /  189       1850 | -9996024.64    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 60052847.19   169 /  214       2150 | -9996684.99    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 50053695.11   191 /  245       2450 | -9999215.86    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 40050713.80   234 /  287       2750 | -9997676.89    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 30051602.53   225 /  298       3050 | -9995232.31    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 20052497.91   240 /  321       3350 | -9997954.19    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 20048212.77   272 /  355       3650 | -9998413.42    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 20043619.12   236 /  355       3950 | -9995739.22    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 20039502.61   274 /  396       4250 | -9995745.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 20037467.88   276 /  414       4550 | -9998619.73    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 20034805.89   313 /  437       4850 | -9996411.55    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 20030844.63   287 /  431       5150 | -9996663.05    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 20025756.13   265 /  434       5450 | -9998574.95    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       20 20022813.27   285 /  457       5750 | -9997883.65    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       21 20020725.60   328 /  485       6050 | -9996626.22    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       22 15021349.88   377 /  527       6350 | -9998618.34    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       23 8353621.82   471 /  611       6650 | -3332251.10    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       24 5020787.38   477 /  616       6950 | -4998572.71    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       25 3354031.34   558 /  677       7250 |    -359.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       26 3352432.77   536 /  670       7550 |   -1547.88    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       27 3350514.98   465 /  624       7850 | -6662366.72    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       28   17836.20   493 /  649       8150 |   -1109.46    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       29   16724.84   558 /  695       8450 |    -531.40    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       30   15366.24   649 /  764       8750 |    -595.51    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       31   14482.33   728 /  819       9050 |    -978.30    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       32   13225.62   754 /  836       9350 |    -290.18    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       33   12026.87   733 /  827       9650 |    -295.59    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       34   11023.90   759 /  849       9950 |    -439.84    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       35   10183.38   803 /  883      10250 |    -249.10    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       36    9558.97   872 /  931      10550 |    -380.04    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       37    8813.94   932 /  988      10850 |    -237.68    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       38    8219.27   945 / 1001      11150 |    -194.90    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       39    7730.05   934 /  987      11450 |    -114.53    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       40    7319.16   974 / 1022      11750 |    -142.03    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       41    7100.03   981 / 1034      12050 |    -192.74    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       42    6638.73   979 / 1028      12350 |    -165.02    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       43    6370.26  1044 / 1074      12650 |    -102.68    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       44    6144.35  1047 / 1077      12950 |    -106.19    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       45    5767.01  1073 / 1101      13250 |    -158.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       46    5597.41  1068 / 1105      13550 |     -75.88    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       47    5420.51  1073 / 1113      13850 |     -85.81    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       48    5283.17  1055 / 1099      14150 |    -128.75    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       49    5191.78  1105 / 1134      14450 |     -51.47    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       50    5051.57  1115 / 1155      14750 |     -36.48    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       51    4988.80  1077 / 1119      15050 |     -66.37    15   282  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       52    4917.53  1108 / 1146      15332 |     -96.93    15   292  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       53    4830.39  1111 / 1157      15624 |     -37.04    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       54    4758.84  1115 / 1161      15924 |     -40.60    15   283  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       55    4688.54  1092 / 1131      16207 |     -32.90    15   238  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       56    4673.87  1062 / 1115      16445 |     -30.04    15   274  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       57    4614.61  1077 / 1128      16719 |     -29.70    15   218  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       58    4592.14  1093 / 1141      16937 |     -26.89    19   144  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       59    4583.27  1084 / 1129      17081 |     -22.69    18   228  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       60    4550.28  1075 / 1122      17309 |     -52.45    29   156  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       61    4521.29  1054 / 1108      17465 |     -10.00    20    56  
