BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 90044157.43    27 /   27         60 | -9998330.07    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 80041949.43    46 /   50        360 | -9998559.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 70038408.14    67 /   76        660 | -9998969.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 60036482.34    90 /   99        960 | -9997838.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 40036116.69   103 /  123       1260 | -9997148.84    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 30036047.10   122 /  147       1560 | -9996921.30    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 20038277.74   129 /  159       1860 | -9999526.09    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 20034661.65   156 /  186       2160 |   -1013.85    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 20029306.65   167 /  206       2460 | -9997636.63    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 15026892.82   201 /  241       2760 |   -1137.94    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 15021846.74   183 /  246       3060 | -9999352.16    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 15018699.97   184 /  257       3360 |    -657.41    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 15015711.47   201 /  283       3660 | -4999465.44    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 10016676.06   197 /  290       3960 |    -595.36    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 10014639.58   232 /  310       4260 | -9999797.91    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 10012656.93   223 /  309       4560 |    -432.65    15   300  
